unicode,emoji,cldr,cldr_link,meaning,note,unicode_text
U+1F607,😇,smiling face with halo,smiling-face-with-halo,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement. Similar to 😀 Grinning Face and 😃 Grinning Face With Big Eyes, but with warmer, less excited eyes. This emoji has a cat variant, 😸 Grinning Cat Face With Smiling Eyes.",-,Grinning Face with Smiling Eyes was approved as part of Unicode 6.0 in 2010 under the name “Smiling Face with Open Mouth and Smiling Eyes” and added to Emoji 1.0 in 2015.
U+1F970,🥰,smiling face with hearts,smiling-face-with-hearts,"A yellow face with smiling eyes, closed smile, and halo, usually blue, overhead. Often represents angels, prayers, and blessings. May also convey angelic behavior, e.g., doing good deeds. See also 👼 Baby Angel. Several platforms, including Apple, feature an expression similar to their 😊 Smiling Face With Smiling Eyes.",-,Smiling Face with Halo was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F60D,😍,smiling face with heart-eyes,smiling-face-with-heart-eyes,"A yellow face with an open smile, sometimes showing teeth, and red, cartoon-styled hearts for eyes. Often conveys enthusiastic feelings of love, infatuation, and adoration, e.g., I love/am in love with this person or thing. This emoji has a cat variant, 😻 Smiling Cat Face With Heart-Eyes.",-,Smiling Face with Heart-Eyes was approved as part of Unicode 6.0 in 2010 under the name “Smiling Face with Heart-Shaped Eyes” and added to Emoji 1.0 in 2015.
U+1F929,🤩,star-struck,star-struck,"A yellow face winking with puckered lips blowing a kiss, depicted as a small, red heart. May represent a kiss goodbye or good night and convey feelings of love and affection more generally.  Many platforms feature the same eyes as on their 😉 Winking Face. Microsoft’s design previously featured a feminine smiley with long eyelashes and red lipstick, which could leave a kiss mark.",-,Face Blowing a Kiss was approved as part of Unicode 6.0 in 2010 under the name “Face Throwing a Kiss” and added to Emoji 1.0 in 2015.
U+1F618,😘,face blowing a kiss,face-blowing-a-kiss,"A yellow face with a broad, open smile, showing upper teeth on most platforms, with stars for eyes, as if seeing a beloved celebrity. Color of stars widely varies by platform, though commonly gold or red. May express that someone or something is amazing, fascinating, impressive, or exciting.",-,Star-Struck was approved as part of Unicode 10.0 in 2017 under the name “Grinning Face with Star Eyes” and added to Emoji 5.0 in 2017.
U+1F617,😗,kissing face,kissing-face,"A yellow face with simple, open eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection. Like 😙 Kissing Face With Smiling Eyes, this emoji is sometimes taken to represent whistling, especially when paired with a musical note. May convey such feelings as surprise, admiration, contempt, or feigned innocence, as a person casually whistling after wrongdoing saying, Nothing to look at here. Similar to 😙 Kissing Face With Smiling Eyes and 😚 Kissing Face With Closed Eyes but with less intimate eyes.",-,Kissing Face was approved as part of Unicode 6.1 in 2012 and added to Emoji 1.0 in 2015.
U+263A,☺,smiling face,smiling-face,"A classic smiley. A yellow face with a modest smile, rosy cheeks, and soft, closed eyes. Many platforms, including Apple, feature relaxed eyebrows. Conveys a wide range of warm, positive feelings, including love, happiness, and gratitude. Similar to 😊 Smiling Face With Smiling Eyes, which has a broader smile, no eyebrows, and smiling eyes. This smiley predates Unicode emoji support. In its Unicode name of White Smiling Face, white does not refer to skin tone or ethnicity. See the glossary for the term white in Unicode character names.",-,Smiling Face was approved as part of Unicode 1.1 in 1993 under the name “White Smiling Face” and added to Emoji 1.0 in 2015.
U+1F61A,😚,kissing face with closed eyes,kissing-face-with-closed-eyes,"A yellow face with open eyes, a thin closed-mouth smile, and a single tear falling from one of its eyes. Can be used to express a wide range of emotions and expressions including gratitude, tender happiness, an attempt to look happy when actually sad, or smiling through pain. Can also be a response to something that is bittersweet. This emoji and 🙂 Slightly Smiling Face have a similar smile, and 😢 Crying Face and 😿 Crying Cat have a similar lone tear. Not to be confused with 😂 Face with Tears of Joy, which has a wide toothy grin and tears coming from both eyes.",-,Smiling Face with Tear was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.
U+1F619,😙,kissing face with smiling eyes,kissing-face-with-smiling-eyes,"A yellow face with smiling eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection. Like 😗 Kissing Face, this emoji is sometimes taken to represent whistling, especially when paired with a musical note. May convey such feelings as surprise, admiration, contempt, or feigned innocence, as a person with hands in pocket casually whistling after wrongdoing, as if saying Nothing to look at here. With its smiling eyes, features an expression fonder than 😗 Kissing Face's but less intimate than 😚 Kissing Face With Closed Eyes's.",-,Kissing Face with Smiling Eyes was approved as part of Unicode 6.1 in 2012 and added to Emoji 1.0 in 2015.
U+1F972,🥲,smiling face with tear,smiling-face-with-tear,"A yellow face with smiling eyes, rosy cheeks, and puckered lips giving a kiss. Commonly conveys sentiments of romantic love and affection. Several platforms, including Apple, feature the same eyes and cheeks as their ☺️ Smiling Face. With its closed eyes, features an expression more intimate than 😙 Kissing Face With Smiling Eyes’s and 😗 Kissing Face’s. This emoji has a cat variant, 😽 Kissing Cat Face.",-,Kissing Face with Closed Eyes was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F60B,😋,face savoring food,face-savoring-food,"A yellow face with smiling eyes and a broad, closed smile with its tongue sticking out of one corner, as if licking its lips in appetite or contentment. Widely used to convey that a food item is delicious. May also express that a person is attractive.",-,Face Savoring Food was approved as part of Unicode 6.0 in 2010 under the name “Face Savouring Delicious Food” and added to Emoji 1.0 in 2015.
U+1F61B,😛,face with tongue,face-with-tongue,"A yellow face with its head tilted, its tongue hanging out of a big grin, and wide eyes in a wild, cockeyed expression. Generally used to express silliness. Commonly represents acting goofy, having fun, and partying and is usually used in a positive manner. May be used in reference to someone or something that is off-kilter. Microsoft, and WhatsApp previously displayed a full-toothed grin instead of an open mouth with a protruding tongue, which appeared less silly and more menacing. Google's design used to show the mouth in a grimace, which also read as more disturbing than silly.",-,Zany Face was approved as part of Unicode 10.0 in 2017 under the name “Grinning Face with One Large and One Small Eye” and added to Emoji 5.0 in 2017.
U+1F61C,😜,winking face with tongue,winking-face-with-tongue,"A yellow face with small, open eyes and a big grin, playfully sticking out its tongue. Can variously convey a sense of fun, excitement, silliness, cuteness, happiness, or jesting, as if saying Just kidding! Generally less goofy than 😜 Winking Face With Tongue and less animated than 😝 Squinting Face With Tongue. Google previously featured a more defeated expression and Samsung, a more mocking one. Because of its stuck-out tongue, note that this smiley may be applied or interpreted in suggestive ways.",-,Face with Tongue was approved as part of Unicode 6.1 in 2012 under the name “Face with Stuck-Out Tongue” and added to Emoji 1.0 in 2015.
U+1F92A,🤪,zany face,zany-face,"A yellow face sticking out its tongue and making a zany wink, usually shown with its right eye closed and left wide open. Often conveys a sense of fun, excitement, wackiness, buffoonery, or joking. Generally goofier than 😛 Face With Tongue and 😝 Squinting Face With Tongue but less ""crazy"" than 🤪 Zany Face.",-,Winking Face with Tongue was approved as part of Unicode 6.0 in 2010 under the name “Face with Stuck-Out Tongue and Winking Eye” and added to Emoji 1.0 in 2015.
U+1F61D,😝,squinting face with tongue,squinting-face-with-tongue,"A yellow face with a hand covering its mouth. Displays most often with smiling eyes and/or blushing cheeks, suggesting coy laughter or embarrassment, as if cheekily saying Oops!  Prior to the release of iOS 15.4 in March 2022, Apple's design featured simple, open eyes, suggesting someone gasping Oh my! in serious surprise, shock, concern, or apology. This same update assigned Apple's original 🤭 design to Emoji 14.0's new 🫢 Face with Open Eyes and Hand Over Mouth emoji. May be used to similar effect as 🙊 Speak-No-Evil Monkey. See also 🤐 Zipper-Mouth Face. Joins 🤗 Hugging Face, 🤔 Thinking Face, and 🤫 Shushing Face as one of the few smileys featuring hands. Facebook's design previously featured open eyes, though an earlier version had smiling eyes like those in the vendor's current design. 🚩 Appearance historically differs greatly cross-platform. Use with caution. 🚨",-,Face with Hand Over Mouth was approved as part of Unicode 10.0 in 2017 under the name “Smiling Face with Smiling Eyes and Hand Covering Mouth” and added to Emoji 5.0 in 2017.
U+1F911,🤑,money-mouth face,money-mouth-face,"A yellow face with raised eyebrows, dollar signs for eyes, and an open smile sticking out a tongue styled after a green, dollar banknote. Some platforms depict the dollar-sign eyes in green circles. Used for a wide range of content dealing with money, including: making money, loving wealth, being or feeling rich, and concepts of success and excellence (e.g., on the money).",-,Money-Mouth Face was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 in 2015.
U+1F917,🤗,smiling face with open hands,hugging-face,"A yellow face smiling with open hands, as if giving a hug. May be used to offer thanks and support, show love and care, or express warm, positive feelings more generally. Due to its hand gesture, often used to represent jazz hands, indicating such feelings as excitement, enthusiasm, or a sense of flourish or accomplishment. Joins 🤔 Thinking Face, 🤫 Shushing Face, and 🤭 Face With Hand Over Mouth as one of the few smileys featuring hands. For a more obvious hug, see 🫂 People Hugging (new in 2020). 🚩 Appearance historically differs greatly cross-platform. Use with caution. 🚨",-,Smiling Face with Open Hands was approved as part of Unicode 8.0 in 2015 under the name “Hugging Face” and added to Emoji 1.0 in 2015.
U+1F92D,🤭,face with hand over mouth,face-with-hand-over-mouth,"A yellow face with open (non-smiling) eyes and a hand over the mouth, used to convey shock or surprise. A disambiguation of 🤭 Face with Hand Over Mouth which appears to have smiling eyes on some platforms, and open/non-smiling eyes on others, creating confusion. Appearance is similar to 🥱 Yawning Face, though no mouth is visible. 🚩 Approved in September 2021 as part of Emoji 14.0. Now available across all major emoji platforms.",-,Face with Open Eyes and Hand Over Mouth was approved as part of Unicode 14.0 in 2021 and added to Emoji 14.0 in 2021.
U+1FAE2,🫢,face with open eyes and hand over mouth,face-with-open-eyes-and-hand-over-mouth,"A yellow face with scrunched, X-shaped eyes and a big grin, sticking out its tongue. Often conveys a sense of fun, excitement, playfulness, hilarity, and happiness, as if saying Squee! or Awesome!  Similar to 😆 Grinning Squinting Face. Generally more exuberant than 😛 Face With Tongue and 😜 Winking Face With Tongue. Samsung previously featured a more sour expression. Because of its stuck-out tongue, note that this smiley may be applied or interpreted in suggestive ways.",-,Squinting Face with Tongue was approved as part of Unicode 6.0 in 2010 under the name “Face with Stuck-Out Tongue and Tightly-Closed Eyes” and added to Emoji 1.0 in 2015.
U+1FAE3,🫣,face with peeking eye,face-with-peeking-eye,"A yellow face with its hands over its eyes and raised eyebrows. One wide eye is peeking through the fingers. Can be used to express the duality of wanting to look away from something because it's frightening, disgusting, or embarrassing, but not being able to. 🚩 Approved in September 2021 as part of Emoji 14.0. Now available across all major emoji platforms.",-,Face with Peeking Eye was approved as part of Unicode 14.0 in 2021 and added to Emoji 14.0 in 2021.
U+1F92B,🤫,shushing face,shushing-face,"A yellow face with furrowed eyebrows looking upwards with thumb and index finger resting on its chin. Intended to show a person pondering or deep in thought. Often used to question or scorn something or someone, as if saying Hmm, I don't know about that. Tone varies, including earnest, playful, puzzled, skeptical, and mocking. May be paired with 💭 Thought Balloon or 💡 Light Bulb to represent thinking, (having) ideas, and learning. Joins 🤗 Hugging Face, 🤫 Shushing Face, and 🤭 Face With Hand Over Mouth as one of the few smileys featuring a hand.",-,Thinking Face was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 in 2015.
U+1F914,🤔,thinking face,thinking-face,A yellow face with its right hand saluting. Used as a sign of respect. 🚩 Approved in September 2021 as part of Emoji 14.0. Now available across all major emoji platforms.,-,Saluting Face was approved as part of Unicode 14.0 in 2021 and added to Emoji 14.0 in 2021.
U+1FAE1,🫡,saluting face,saluting-face,"A yellow face with simple, open eyes and a closed zipper for a mouth. Meaning widely varies, but commonly conveys a secret or that someone will keep one (e.g., My lips are sealed). May also be used to tell someone to stop talking (e.g., Zip it! or I’ll shut up now). Google's design for 😯 Hushed Face previously featured a zipper-mouth.",-,Zipper-Mouth Face was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 in 2015.
U+1F910,🤐,zipper-mouth face,zipper-mouth-face,"A yellow face with a flat, neutral mouth and furrowed eyebrows, its left raised higher than its right. Conveys a wide variety of sentiments, including suspicion, skepticism, concern, consideration, disbelief, and disapproval. Its expression has notably been likened to the signature look of comedian Stephen Colbert as well as actor/wrestler Dwayne “The Rock” Johnson.",-,Face with Raised Eyebrow was approved as part of Unicode 10.0 in 2017 under the name “Face with One Eyebrow Raised” and added to Emoji 5.0 in 2017.
U+1F928,🤨,face with raised eyebrow,face-with-raised-eyebrow,"A yellow face with simple, open eyes and a flat, closed mouth. Intended to depict a neutral sentiment but often used to convey mild irritation and concern or a deadpan sense of humor.",-,Neutral Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F610,😐,neutral face,neutral-face,"A yellow face placing an index finger over pursed lips, as if issuing Shh! or Shush! for silence. Some platforms feature raised eyebrows. Apple’s design suggests the face is tilting back slightly.  May convey silence, quiet, secrecy, and discreetness. May also create a sense of buzz and anticipation, e.g., an exclusive sneak peek or news scoop. See also 🤐 Zipper-Mouth Face. Joins 🤗 Hugging Face, 🤔 Thinking Face, and 🤭 Face With Hand Over Mouth as one of the few smileys featuring hands.",-,Shushing Face was approved as part of Unicode 10.0 in 2017 under the name “Face with Finger Covering Closed Lips” and added to Emoji 5.0 in 2017.
U+1F611,😑,expressionless face,expressionless-face,"A yellow face with flat, closed eyes and mouth. May convey a sense of frustration or annoyance more intense than suggested by 😐 Neutral Face, as if taking a moment to collect itself. Microsoft's design previously displayed this emoji with its eyes open, while Samsung's design previously had eyebrows.",-,Expressionless Face was approved as part of Unicode 6.1 in 2012 and added to Emoji 1.0 in 2015.
U+1F636,😶,face without mouth,face-without-mouth,"A muted yellow neutral face with a dotted or dashed outline. An established comic book trope, dotted lines around a character can represent someone that is invisible or hidden. It can also represent smallness, submissiveness, isolation, and depression. This emoji has the same expression as 😐 Neutral Face. 🚩 Approved in September 2021 as part of Emoji 14.0. Now available across all major emoji platforms.",-,Dotted Line Face was approved as part of Unicode 14.0 in 2021 and added to Emoji 14.0 in 2021.
U+1FAE5,🫥,dotted line face,dotted-line-face,"A face that appears surrounded by clouds or a haze of smoke. Ambiguous in appearance, this may represent a foggy state of mind, confusion, or even a sense of calm bliss. May also be used to indicate the presence of smoke.","The Face in Clouds emoji is a ZWJ sequence combining 😶 Face Without Mouth, ‍ Zero Width Joiner and 🌫️ Fog.These display as a single emoji on supported platforms.",Face in Clouds was added to Emoji 13.1 in 2020.
U+1F636 U+200D U+1F32B U+FE0F,😶‍🌫️,face in clouds,face-in-clouds,"A yellow face with simple, open eyes and no mouth, as if at a loss for words. Meaning widely varies, but commonly conveys speechlessness, humility, and silence. May also convey moderately negative emotions, such as disappointment, frustration, or sadness.  Samsung’s design previously featured raised eyebrows and blushing cheeks.",-,Face Without Mouth was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F60F,😏,smirking face,smirking-face,"A yellow face with a sly, smug, mischievous, or suggestive facial expression. It features a half-smile, raised eyebrows, and eyes looking to the side. Often used to convey flirtation or sexual innuendo. Not to be confused with 😒 Unamused Face, which has similar eyes but a pouting mouth. This emoji has a cat variant, 😼 Cat Face With Wry Smile. On Snapchat, this emoji next to a contact denotes that this person snaps you frequently but you do not often snap them in return. 🚩 Appearance historically differs greatly cross-platform. Use with caution. 🚨",-,Smirking Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F612,😒,unamused face,unamused-face,"A yellow face with slightly raised eyebrows, a frown, and eyes looking to the side. May convey a variety of negative emotions, including irritation, displeasure, grumpiness, and skepticism, as if giving the side-eye. Not to be confused with 😏 Smirking Face, which features similar eyes but a wry smile.",-,Unamused Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F644,🙄,face with rolling eyes,face-with-rolling-eyes,"A yellow face with simple open eyes showing clenched teeth. May represent a range of negative or tense emotions, especially nervousness, embarrassment, or awkwardness (e.g., Eek!). Resembled 😁 Beaming Face With Smiling Eyes on Apple iOS prior to 2016. Apple’s design for 🥶 Cold Face features the same mouth. Samsung's design previously featured more puckered-looking lips.  On Snapchat, this emoji next to a contact denotes that you send the most snaps to the same person that they do., i.e., you share a #1 Best Friend. 🚩 Appearance historically differs greatly cross-platform. Use with caution. 🚨",-,Grimacing Face was approved as part of Unicode 6.1 in 2012 and added to Emoji 1.0 in 2015.
U+1F62C,😬,grimacing face,grimacing-face,"A face showing a visible breath of air being dispelled. Used to represent relief, exhaustion, or as a sigh of disappointment or displeasure. May also be used to indicate the exhaling of smoke.","The Face Exhaling emoji is a ZWJ sequence combining 😮 Face with Open Mouth, ‍ Zero Width Joiner and 💨 Dashing Away.These display as a single emoji on supported platforms.",Face Exhaling was added to Emoji 13.1 in 2020.
U+1F62E U+200D U+1F4A8,😮‍💨,face exhaling,face-exhaling,"A yellow face with a small, closed mouth, flat or frowning, rolling its large, white eyes upwards. As with the gesture of an eye-roll, commonly conveys moderate disdain, disapproval, frustration, or boredom. Tone varies, including playful, sassy, resentful, and sarcastic, as if saying Yeah, whatever. Samsung's design previously depicted a face smiling and looking to the side. 🚩 Appearance historically differs greatly cross-platform. Use with caution. 🚨",-,Face with Rolling Eyes was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 in 2015.
U+1F925,🤥,lying face,lying-face,"A yellow face with raised eyebrows, enlarged eyes, slight frown, and long nose, indicating it’s telling a lie in the manner of Pinocchio. Like that character, Facebook's design features a wooden nose.  May represent lying, a liar, and other concepts of deceit and dishonesty to varying degrees of intensity. Sometimes used to convey disbelief (e.g., You must be kidding) or feeling abashed (e.g., as if caught in the act of lying).",-,Lying Face was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.
U+1FAE8,🫨,⊛ shaking face,shaking-face,"A face that appears to be shaking from side to side with its eyes and mouth open wide. This emoji finds its origins in the comic book and cartoon trope of a shaking face. It can be used to express shaking from external forces like earthquakes, loud noises, or dinosaurs walking nearby. It can also be used to express shaking caused by strong emotions such as shock, fear, confusion, disbelief, anticipation, and excitement. Additionally it can represent dizziness, double takes, or double vision. 🚩 Approved in September 2022 as part of Emoji 15.0. Now available for select Samsung devices and Google platforms, and within Apple's iOS 16.4 beta. Expected to come to other platforms throughout 2023.Displays in the monochrome Noto Emoji design on Emojipedia if your device has yet to provide support.",-,Shaking Face was approved as part of Unicode 15.0 in 2022 and added to Emoji 15.0 in 2022.
U+1F60C,😌,relieved face,relieved-face,"A yellow face with soft, closed eyes, raised eyebrows, and a slight smile. Facebook’s design features a slightly open mouth, as if sighing. Conveys various pleasant feelings, including contentment, calm, peace, and relief. May also convey feelings of happiness or good-natured humor more generally. Google and Microsoft previously included sweat beads. Not to be confused with 😔 Pensive Face, which has similarly shaped eyes but in a sadder expression.",-,Relieved Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F614,😔,pensive face,pensive-face,"A pensive, remorseful face. Saddened by life. Quietly considering where things all went wrong. Depicted as a yellow face with sad, closed eyes, furrowed eyebrows, and a slight, flat mouth. May convey a variety of sad emotions, including feeling disappointed, hurt, or lonely. Less intense than other sad emojis like 😭 Loudly Crying Face and more introspective. Microsoft's design previously featured a more neutral, bored expression. Samsung’s design previously looked more guilty or worried. Not to be confused with 😌 Relieved Face, which has similarly shaped eyes but in a happier expression.",-,Pensive Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F62A,😪,sleepy face,sleepy-face,"A yellow face with eyes closed and mouth letting out three, cartoon-styled Zzz’s overhead to indicate it's sound asleep. The Zzz’s appear blue or purple across most platforms. May also represent boredom (slang, snooze). Generally used instead of 😪 Sleepy Face to convey sleep or sleepiness.",-,Sleeping Face was approved as part of Unicode 6.1 in 2012 and added to Emoji 1.0 in 2015.
U+1F924,🤤,drooling face,drooling-face,"A yellow face with closed eyes, mouth slightly open, and a blue snot bubble coming from its nose. Snot bubbles indicate a character is tired or sleeping in anime or manga. Not to be confused with 😴 Sleeping Face  While sometimes used to convey sadness, dissastification, or illness, Sleepy Face is also not to be confused with 😢 Crying Face, 😥 Sad but Relieved Face, or other emojis with tear or sweat droplets. Samsung’s design previously featured two, cartoon-styled, sleeping-symbol Zz’s overhead. A previous Microsoft design appeared similar to 😌 Relieved Face.",-,Sleepy Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F634,😴,sleeping face,sleeping-face,"A yellow face wearing a white surgical mask, as used by health workers in hospitals as well as the general public during a pandemic. May be worn to avoid sickness or spreading airborne diseases. Displayed with closed eyes on most platforms. Google, and WhatsApp show this emoji with neutral eyes. Apple changed this emoji to show with smiling eyes in iOS 14.2 and above, as did Microsoft in their Windows 11 November 2021 update. In 2020, this emoji became primarily used in reference to Coronavirus / COVID-19. 🚩 Appearance historically differs greatly cross-platform. Use with caution. 🚨",-,Face with Medical Mask was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F637,😷,face with medical mask,face-with-medical-mask,"A yellow face, usually shown with closed eyes and raised eyebrows, with saliva drooling from one corner of its mouth. Often used to show desire for a person (sexy, attractive) or object (e.g., delicious food). May also represent someone is tired or sleeping. Not to be confused with 😋 Face Savoring Food or 😪 Sleepy Face. Samsung's design previously featured a startled facial expression.",-,Drooling Face was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.
U+1F912,🤒,face with thermometer,face-with-thermometer,"A yellow face with raised or furrowed eyebrows and a thermometer in its mouth. Often depicted with red cheeks, as if feverish. May be used to represent a hospital patient or person with a cold or flu. Differs from other smileys conveying illness, such as 🤢 Nauseated Face (appearing as if it's going to vomit) or 🤕 Face With Head-Bandage (physical injury).",-,Face with Thermometer was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 in 2015.
U+1F915,🤕,face with head-bandage,face-with-head-bandage,"A yellow face with a half-frown and white bandage wrapped around its head, often depicted partially over one eye. May represent physical injury or pain but also emotional hurting, sometimes for ironic effect. Differs from other smileys conveying illness, such as 🤢 Nauseated Face (appearing as if it’s going to vomit) or 🤒 Face With Thermometer (used especially for colds and flus).",-,Face with Head-Bandage was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 in 2015.
