name,link,definition,origin
🐯 Tiger Face emoji,https://www.dictionary.com/e/emoji/tiger-face-emoji/,"The Heart with Arrow emoji 💘 depicts a heart with an arrow shot through it. It is commonly used to represent relationships, romance, and to express love for people and things. Alongside the many other heart emoji, the Heart with Arrow emoji 💘 is typically used to celebrate Valentine’s Day.","The Heart with Arrow emoji 💘 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji depicts a stylized pink or red heart with a feathered arrow piercing it at an angle. On most major platforms, the tip of the arrow is pointed upward toward the left. On WhatsApp, the tip of the arrow is instead pointed downward toward the left. The color of the heart and arrow vary by platform."
🐅 Tiger emoji,https://www.dictionary.com/e/emoji/tiger-emoji/,"The Star of David emoji ✡️ depicts the Star of David symbol of Judaism. This emoji is used in all manner of posts and digital media in relation to Judaism, Jewish culture, and spirituality. While the Star of David emoji ✡️ is used throughout the year, it is especially popular during the holiday season. It is often used along with the Menorah emoji 🕎, in posts about Hanukkah and also in posts about Christmas and the holiday season in general. According to the Jewish calendar, Hanukkah begins on the 25th of Kislev and ends on the 2nd of Tevet. In 2021, Hanukkah began on November 28.","The Star of David emoji ✡️ was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015. On all major platforms, the emoji depicts an all-white illustration of a six-cornered Star of David drawn on a purple square with rounded corners. The Star of David is widely recognized as a symbol of Judaism. It is a hexagram, formed by two overlapping triangles that form a star with six points, and has been used as a symbol of Jewish identity since the 1300s and used throughout Europe since the 1600s. The Star of David was adopted by the Zionist movement in 1897 and incorporated into the design of the flag of the new State of Israel in 1948. The symbol, however, dates back to ancient times, appearing in churches built during the first century, for example. The six pointed star is also used by the Black Gangster Disciple Nation. One of its founders was David Barksdale, who goes by the name King David. The gang claims the six points represent Love, Life, Loyalty, Knowledge, Wisdom, and Understanding."
♒ Aquarius emoji,https://www.dictionary.com/e/emoji/aquarius-emoji/,"The Ophiuchus emoji ⛎ depicts the sign of Ophiuchus, a constellation and what some consider to be the 13th zodiac sign in astrology. Unlike the other zodiac signs, Ophiuchus is much more obscure. For this reason, the Ophiuchus emoji ⛎ is often used by people who have recently discovered the existence of Ophiuchus or consider it to be the 13th sign of the zodiac. Ophiuchus is also known as The Serpent Bearer. The word Ophiuchus comes through Latin from the Greek Ophioukhos, which is a combination of the noun ophis (“snake”) and the verb ekhein (“to hold”). The Ophiuchus emoji ⛎ usually depicts the symbol of Ophiuchus, which resembles a capital letter U with a squiggly line through it. This symbol is thought to represent two arms carrying a snake.","The Ophiuchus emoji ⛎ was approved under Unicode 6.0 in 2010. On most major platforms, the emoji resembles the symbol of Ophiuchus (a glyph that depicts a U with a wavy line through it) colored white and imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Ophiuchus symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Ophiuchus symbol is instead on a blue circle. On Twitter, the Ophiuchus emoji ⛎ is often accompanied by the word Ophiuchus and usually an explanation of what the heck Ophiuchus is. Most casual followers of astrology are either unaware of Ophiuchus or don’t consider it to be an actual sign of the zodiac. The sun travels through the constellation of Ophiuchus from about November 30 until December 18, which means it would overlap with dates currently assigned to Sagittarius. Astrology fans who do consider Ophiuchus to be the 13th sign of the zodiac may consider people whose birthday falls within this time period to have Ophiuchus as their sign. Because Ophiuchus is also known as The Serpent Bearer, the Ophiuchus emoji ⛎ is sometimes used alongside the Snake emoji 🐍. If you’d like to know more about Ophiuchus, you can slither on over to our investigation of the origins of Ophiuchus."
♑ Capricorn emoji,https://www.dictionary.com/e/emoji/capricorn-emoji/,"The pile of poo emoji is used in a variety of contexts. A common usage is replacing the expletive shit (or crap), in both the literal and figurative senses. It can also be used to express passive aggression. The poo emoji has become one of the most popular emoji that it’s even warranted its own merchandise—because who doesn’t want to sleep on a fluffy pile of poo?","The pile of poo emoji is also called the poop emoji, dog dirt, or smiling poo. On more rare occasions, it’s interpreted as a chocolate ice cream or chocolate chip emoji by people who are either clued into the fact that the swirl of the pile of poo emoji is the exact same as the swirl of the ice cream emoji, or by people who simply don’t realize that this emoji has the word poo in its official Unicode name. Pile of poo was included as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. The pile of poo emoji was very popular in Japan before it became international. Its original connotation was whimsical, rather than insulting or vulgar, and it referenced a child’s television program. As Takeshi Kishimoto, a Google product manager who worked on the original implementation explained to Fast Company, “It says ‘I don’t like that,’ but softly.”  In 2008, before it’s official Unicode release, Google’s designers crafted a poop emoji that was faceless and had animated flies buzzing around it. Gmail originally fought the inclusion of this emoji citing its vulgar nature, but they were ultimately convinced to include it by emoji’s creators. Google added in the smiling face in 2014 (it had become an industry-wide standard by this point). There is now debate about whether to include a frowning poo emoji."
🤶 Mrs. Claus emoji,https://www.dictionary.com/e/emoji/mrs-claus/,"The Tiger Face emoji 🐯 depicts the face of a tiger with orange fur and black stripes. It is commonly used to discuss real, fictional, and metaphorical tigers. The emoji is also often used to refer to things named after tigers, such as sports teams. The Tiger Face emoji 🐯 may also be used to refer to the Year of the Tiger in the Chinese zodiac, especially if the current year or a person’s birth year is the Year of the Tiger. The usage of the Tiger Face emoji 🐯 overlaps heavily with the Tiger emoji 🐅, and the two may be used together.","The Tiger Face emoji 🐯 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji resembles a stylized depiction of the head of a tiger with orange and white fur with black stripes facing toward the viewer. The Microsoft and WhatsApp versions of the emoji depict the tiger with whiskers. Tigers are popular animals that can be found in many of the world’s zoos and animal preserves and are often depicted in popular culture. For this reason, both the Tiger emoji 🐅 and the Tiger Face emoji 🐯 are used to talk about actual tigers, fictional tiger characters such Disney’s Tigger or Kellogg’s Tony the Tiger, or sports teams named after tigers, such as the Clemson Tigers or Cincinnati Bengals. Both of these emoji are also used to refer to the Year of the Tiger, one of the 12 years named for animals as part of the 12-year cycle that makes up the Chinese zodiac. The years 2022, 2010, 1998, and 1986 are some examples of years that would be considered to be Years of the Tiger according to the Chinese zodiac."
✡️ Star of David emoji,https://www.dictionary.com/e/emoji/star-of-david-emoji/,"You can almost smell the fresh-baked cookies when you see the Mrs. Claus emoji 🤶, otherwise known as the Mother Christmas emoji. Whatever name you know her by, she represents the Christmas season. Often described as the wife of Santa Claus, she also embodies a grandmotherly, kind-hearted, and generous woman.","While there are variations across the platforms, the Mrs. Claus emoji 🤶 shows a smiling, white-haired woman with glasses and a red bonnet. On Facebook, Apple, and Google, details like wrinkles and shadows lend her a more realistic appearance while Samsung gives her rosy cheeks. While her husband, Santa Claus, has been a part of Unicode since 2010, Mrs. Claus was added by the consortium in 2016 along with a group of other emoji responding to pressure about gender parity in emoji-land. Since she was added after Unicode started offering a greater spectrum of skin tones, Mrs. Claus is available in a range of colors too. In 2020, an Mx Claus emoji was added to Emoji 13.0. Created by combining a Person emoji 🧑, ‍zero width joiner, and Christmas Tree emoji 🎄, the Mx Claus emoji is a gender-neutral alternative to Mrs. Claus and Santa Claus."
🕎 Menorah emoji,https://www.dictionary.com/e/emoji/menorah-emoji/,"The Menorah emoji 🕎 depicts a menorah, a type of candelabra used to celebrate the Jewish holiday of Hanukkah. It is commonly used to refer to the religion of Judaism, Jewish people, or Hanukkah. Jewish social media users will often use this emoji alongside other emoji, such as the Star of David emoji ✡️, to proudly identify themselves. The Menorah emoji 🕎 sees significant usage leading up to and during the Jewish festival of Hanukkah. According to the Jewish calendar, Hanukkah begins on the 25th of Kislev and ends on the 2nd of Tevet. In 2021, Hanukkah began on November 28.","The Menorah emoji 🕎 was approved as Menorah with Nine Branches under Unicode 8.0 in 2015. On all major platforms, the emoji depicts an all-white illustration of a completely lit menorah drawn on a purple square with rounded corners. The menorah is widely recognized as a symbol of Judaism and Hanukkah, even by non-Jewish people. As a result, the Menorah emoji 🕎 is commonly used to refer to Judaism or to wish people a happy Hanukkah. Hanukkah occurs yearly sometime in November or December, so the Menorah emoji 🕎 sees increased usage every year during this time."
🍪 Cookie emoji,https://www.dictionary.com/e/emoji/cookie-emoji/,"The Santa Claus emoji 🎅 portrays the face of Santa Claus, the legendary Christmas figure. It is commonly used to refer to Santa Claus specifically, or Christmas and the Christmas holiday season. As you’d expect, the usage of the Santa Claus emoji 🎅 increases significantly leading up to Christmas on December 25.","The Santa Claus emoji 🎅, also popularly called Santa emoji or Father Christmas emoji, was approved under Unicode 6.0 in 2010 as Father Christmas. On most major platforms, the emoji depicts the head of Santa Claus as he is most often pictured: a jolly old man with a long beard and red fur hat with a white pom-pom. The Apple version oddly depicts Santa with a blonde beard. Santa’s shoulders are visible on the Google version. Santa’s eyes are closed in the Samsung and Facebook versions of the emoji, and the Samsung version uniquely depicts Santa happily laughing (likely with a “Ho, ho, ho!”) The Santa Claus emoji 🎅 depicts Santa with the same yellow skin as other people emoji, but can be customized with several different skin tones. As an extremely famous symbol of the incredibly popular holiday of Christmas, Santa Claus is well known both on social media and everywhere else. For this reason, the Santa Claus emoji 🎅 can be used to refer to Santa and/or Christmas even if neither are specifically mentioned. The Santa Claus emoji 🎅 is often used alongside other Christmas-themed emoji such as the Christmas Tree emoji 🎄 and the Wrapped Present emoji 🎁. While Santa Claus and Father Christmas are sometimes said to be different people, the Santa Claus emoji 🎅 is commonly used to refer to both of them."
🎅 Santa Claus emoji,https://www.dictionary.com/e/emoji/santa-claus-emoji/,"The Cookie emoji 🍪 depicts a chocolate chip cookie. It is commonly used to represent cookies, snacks, or baking. It is often used with the Glass of Milk emoji 🥛. On December 4, the Cookie emoji 🍪 is used with the hashtag #NationalCookieDay to commemorate National Cookie Day.","The Cookie emoji 🍪 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji resembles a brown or golden-brown cookie with chocolate chips. On most major platforms, the cookie is positioned as an upright circle, but the cookie appears tilted in the Samsung and WhatsApp versions. For the most part, the Cookie emoji 🍪 is used straightforwardly to refer to the many different kinds of cookies that people enjoy snacking on. The Cookie emoji 🍪 is also sometimes used to jokingly refer to HTTP cookies that websites use to store user data."
♐️ Sagittarius emoji,https://www.dictionary.com/e/emoji/sagittarius-emoji/,"The Sagittarius emoji ♐ depicts the sign of Sagittarius, a constellation and one of the 12 zodiac signs in astrology. It is commonly used to represent Sagittarius, people whose zodiac sign is Sagittarius, and astrology in general. According to astrology, people who were born between November 22 and December 21 have Sagittarius as their sign. For this reason, you are more likely to see the Sagittarius emoji ♐ used during this time as people celebrate their birthdays. Sagittarius is known as The Archer (Sagittarius is Latin for archer) and the Sagittarius emoji ♐ usually depicts the symbol of Sagittarius, which is an arrow with a line through it to represent a bow and arrow.","The Sagittarius emoji ♐ was approved under Unicode 1.1 in 1993. On most major platforms, the emoji resembles the symbol of Sagittarius (a glyph that depicts an arrow with a line through it) in white and imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Sagittarius symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Sagittarius symbol is instead on a blue circle. On Twitter, many people put the emoji representing their star sign next to their usernames in order to identify themselves. As is the case with all of the other zodiac signs, this is also true for the Sagittarius emoji ♐. When the Sagittarius emoji ♐ is used, it is often accompanied by the word Sagittarius itself. This is likely done to help identify what the symbol means, as it may not be familiar even to fans of astrology. Sagittarius is commonly known as The Archer, and so the Sagittarius emoji ♐ is frequently used alongside the Bow and Arrow emoji 🏹. "
🪔 Diya Lamp emoji,https://www.dictionary.com/e/emoji/diya-lamp-emoji/,"The Diya Lamp emoji 🪔 depicts a diya, a type of lamp that is commonly used in homes in India. Diyas are used by Indians for a wide range of reasons, such as for ceremonial rituals or religious observances. In particular, a large number of diyas are made and lit during Diwali, an event also known as the Festival of Lights that is celebrated during October or November by the different religious groups living in India. As a result, the Diya Lamp emoji 🪔 is often used during Diwali by Indian social media users to celebrate the holiday. In 2021, Diwali occurred from November 2 to November 6, with the main celebration occurring on November 4.","The Diya Lamp emoji 🪔 was approved under Unicode 12.0 in 2019. On most major platforms, the emoji depicts a brown diya filled with oil and a lit candle wick. Depending on the platform, the depiction of the diya is either realistic or stylized. The Apple and Microsoft versions of the emoji have the lamp’s lit candle positioned on the left, while most other major platforms depict the candle on the right. The Twitter version of the emoji depicts a red lamp instead of a brown lamp. While diyas are often used by many Indians throughout the year, they are an important part of the celebration of Diwali. During this time, many diyas are crafted and lit as part of both religious and secular celebrations of the holiday, especially on the dark night of the new moon. Depending on the group, there are different reasons for the lighting of the diyas on Diwali and other occasions. Among followers of Hinduism, for example, the lighting of the diyas symbolizes the goodness of light driving away evil of darkness. Online, this means that many Indian social media users use the Diya Lamp emoji 🪔 to celebrate Diwali and to wish a joyful holiday to others. As a result, the usage of the Diya Lamp emoji 🪔 significantly increases every year during the celebration of Diwali during October/November."
🍝 Spaghetti emoji,https://www.dictionary.com/e/emoji/spaghetti-emoji/,"The Flag of the Philippines emoji 🇵🇭 displays the flag of the Philippines. It is used to refer to the country of the Philippines, Filipinos, or to Filipino culture. On social media, this emoji is often used by Filipinos to proudly reference their home country and/or their Filipino heritage. The Flag of the Philippines emoji 🇵🇭 is also used to celebrate Filipino American History Month, which occurs every October.","The Flag of the Philippines emoji 🇵🇭 was added to Emoji 1.0 in 2015. On supported platforms, the emoji is made by a flag sequence combination of the Regional Indicator Symbol Letter P emoji 🇵 and the Regional Indicator Symbol Letter H emoji 🇭. On unsupported platforms, the emoji appears as a capitalized “PH.” On most major platforms, the Flag of the Philippines emoji 🇵🇭 depicts the national flag of the Philippines. On Twitter, the emoji has a rectangular shape with rounded corners. On most other major platforms, the emoji has a wavy shape to resemble a flag blowing in the wind. As with most flag emoji, the Flag of the Philippines emoji 🇵🇭 is used by non-Filipinos to refer to the Philippines, Filipino culture, or people or things that come from the Philippines. Filipinos, like people of other countries, often use the Flag of the Philippines emoji 🇵🇭 to proudly refer to their own country and culture."
🇵🇭 Flag of the Philippines emoji,https://www.dictionary.com/e/emoji/flag-of-the-philippines-emoji/,"The Flag of Italy emoji 🇮🇹 displays the Italian flag. It is used to represent the country of Italy and aspects of Italian life, Italian people, and Italian culture. In particular, the Flag of Italy emoji 🇮🇹 is commonly used to refer to Italian food, which is very popular around the world. Italians will also often use the emoji to express pride in their home country. Many Americans with Italian heritage, including Italian immigrants and their descendants in the US, use the Flag of Italy emoji 🇮🇹 during the month-long observance of Italian American Heritage Month in October.","The Flag of Italy emoji 🇮🇹 , also popularly called Italian Flag emoji, was added to Emoji 1.0 in 2015. On supported platforms, the emoji is made by a flag sequence combination of the Regional Indicator Symbol Letter I 🇮 emoji and the Regional Indicator Symbol Letter T 🇹 emoji. On unsupported platforms, the emoji appears as a capitalized “IT.” On most major platforms, the Flag of Italy emoji 🇮🇹 depicts the national flag of Italy. Most major platforms depict the flag with a wavy shape as if it was blowing in the wind, but the Twitter version of the emoji instead depicts the flag with a rectangular shape and rounded corners. As is the case with all flag emoji, the Flag of Italy emoji 🇮🇹 is commonly used for a variety of reasons. Unsurprisingly, Italians and people of Italian descent will often use the emoji to express pride in their home country or in their heritage. Both Italians and non-Italians often use the the Flag of Italy emoji 🇮🇹 to talk about Italy, travel to Italy, Italian people, or Italian things, such as the city of Rome or Italian cuisine."
